Date,opp,salary,PTS
2019-03-29,@ MIN,9600.00,16.38
2019-03-27,@ MEM,9300.00,17.28
2019-03-24,vs. DET,9900.00,17.72
2019-03-21,vs. IND,9800.00,23.42
2019-03-19,@ MIN,9400.00,17.39
2019-03-18,@ SAS,9400.00,2.92
2019-03-16,@ OKC,9300.00,22.55
2019-03-13,@ HOU,9200.00,13.1
2019-03-10,vs. PHX,9300.00,12.8
2019-03-08,vs. DEN,9100.00,22.74
2019-03-05,vs. BOS,9400.00,28.98
2019-03-02,@ PHI,9400.00,22.3
2019-02-28,@ ORL,9300.00,14.35
2019-02-27,@ MIA,9300.00,20.13
2019-02-25,@ CHA,9600.00,22.37
2019-02-23,vs. HOU,9500.00,11.18
2019-02-21,vs. SAC,9500.00,8.98
2019-02-17,vs. LBN,-,11.23
2019-02-13,@ POR,9100.00,17.96
2019-02-12,vs. UTA,9100.00,20.21
2019-02-10,vs. MIA,9200.00,27.03
2019-02-08,@ PHX,9200.00,19.08
2019-02-06,vs. SAS,9200.00,29.66
2019-02-02,vs. LAL,9500.00,16.89
2019-01-31,vs. PHI,9200.00,14.21
2019-01-28,@ IND,9600.00,19.37
2019-01-26,@ BOS,9800.00,15.69
2019-01-24,@ WAS,9800.00,16.83
2019-01-21,@ LAL,10000.00,9.61
2019-01-18,@ LAC,10400.00,15.73
2019-01-16,vs. NOP,10000.00,5.72
2019-01-15,@ DEN,10000.00,21.71
2019-01-13,@ DAL,10200.00,15.94
2019-01-11,vs. CHI,10200.00,9.62
2019-01-08,vs. NYK,10400.00,25.92
2019-01-05,@ SAC,10100.00,21.38
2019-01-03,vs. HOU,10400.00,20.54
2018-12-31,@ PHX,10100.00,20.82
2018-12-29,@ POR,9800.00,23.15
2018-12-27,vs. POR,9700.00,22.14
2018-12-25,vs. LAL,9700.00,11.86
2018-12-23,vs. LAC,9500.00,15.23
2018-12-22,vs. DAL,9400.00,26.14
2018-12-19,@ UTA,9200.00,22.39
2018-12-17,vs. MEM,9600.00,17.42
2018-12-14,@ SAC,9400.00,20.15
2018-12-12,vs. TOR,9400.00,23.6
2018-12-10,vs. MIN,9200.00,1.58
2018-12-07,@ MIL,9900.00,13.46
2018-12-05,@ CLE,9700.00,31.08
2018-12-03,@ ATL,9700.00,20.51
2018-12-01,@ DET,9600.00,17.01
2018-11-08,vs. MIL,10700.00,19.48
2018-11-05,vs. MEM,10700.00,17.96
2018-11-02,vs. MIN,10700.00,16.21
2018-10-31,vs. NOP,9900.00,12.58
2018-10-29,@ CHI,9800.00,18.05
2018-10-28,@ BKN,10000.00,12.39
2018-10-26,@ NYK,9900.00,4.27
2018-10-24,vs. WAS,9300.00,11.97
2018-10-22,vs. PHX,10200.00,18.11
2018-10-21,@ DEN,9800.00,15.22
2018-10-19,@ UTA,9600.00,19.4
2018-10-16,vs. OKC,9600.00,14.76
