Date,opp,salary,PTS
2019-03-29,@ MIN,9600.00,63.06
2019-03-27,@ MEM,9300.00,53.24
2019-03-24,vs. DET,9900.00,43.16
2019-03-21,vs. IND,9800.00,55.93
2019-03-19,@ MIN,9400.00,66.53
2019-03-18,@ SAS,9400.00,54.64
2019-03-16,@ OKC,9300.00,55.15
2019-03-13,@ HOU,9200.00,61.46
2019-03-10,vs. PHX,9300.00,57.83
2019-03-08,vs. DEN,9100.00,62.03
2019-03-05,vs. BOS,9400.00,58.97
2019-03-02,@ PHI,9400.00,58.64
2019-02-28,@ ORL,9300.00,50.73
2019-02-27,@ MIA,9300.00,67.2
2019-02-25,@ CHA,9600.00,62.53
2019-02-23,vs. HOU,9500.00,55.11
2019-02-21,vs. SAC,9500.00,47.09
2019-02-17,vs. LBN,-,52.52
2019-02-13,@ POR,9100.00,62.08
2019-02-12,vs. UTA,9100.00,53.14
2019-02-10,vs. MIA,9200.00,53.67
2019-02-08,@ PHX,9200.00,61.82
2019-02-06,vs. SAS,9200.00,64.48
2019-02-02,vs. LAL,9500.00,49.22
2019-01-31,vs. PHI,9200.00,53.56
2019-01-28,@ IND,9600.00,60.6
2019-01-26,@ BOS,9800.00,60.87
2019-01-24,@ WAS,9800.00,47.46
2019-01-21,@ LAL,10000.00,65.66
2019-01-18,@ LAC,10400.00,53.51
2019-01-16,vs. NOP,10000.00,54.04
2019-01-15,@ DEN,10000.00,47.72
2019-01-13,@ DAL,10200.00,57.49
2019-01-11,vs. CHI,10200.00,60.56
2019-01-08,vs. NYK,10400.00,52.71
2019-01-05,@ SAC,10100.00,54.81
2019-01-03,vs. HOU,10400.00,49.77
2018-12-31,@ PHX,10100.00,58.51
2018-12-29,@ POR,9800.00,59.14
2018-12-27,vs. POR,9700.00,54.17
2018-12-25,vs. LAL,9700.00,51.61
2018-12-23,vs. LAC,9500.00,60.78
2018-12-22,vs. DAL,9400.00,57.25
2018-12-19,@ UTA,9200.00,58.66
2018-12-17,vs. MEM,9600.00,66.38
2018-12-14,@ SAC,9400.00,59.06
2018-12-12,vs. TOR,9400.00,54.64
2018-12-10,vs. MIN,9200.00,63.78
2018-12-07,@ MIL,9900.00,54.71
2018-12-05,@ CLE,9700.00,55.07
2018-12-03,@ ATL,9700.00,51.82
2018-12-01,@ DET,9600.00,63.32
2018-11-08,vs. MIL,10700.00,57.93
2018-11-05,vs. MEM,10700.00,54.46
2018-11-02,vs. MIN,10700.00,64.13
2018-10-31,vs. NOP,9900.00,48.42
2018-10-29,@ CHI,9800.00,64.23
2018-10-28,@ BKN,10000.00,62.21
2018-10-26,@ NYK,9900.00,49.83
2018-10-24,vs. WAS,9300.00,60.69
2018-10-22,vs. PHX,10200.00,47.09
2018-10-21,@ DEN,9800.00,70.54
2018-10-19,@ UTA,9600.00,54.79
2018-10-16,vs. OKC,9600.00,46.25
