Date,opp,salary,PTS
2019-03-29,@ MIN,9600.00,59.78
2019-03-27,@ MEM,9300.00,50.91
2019-03-24,vs. DET,9900.00,48.49
2019-03-21,vs. IND,9800.00,61.69
2019-03-19,@ MIN,9400.00,64.14
2019-03-18,@ SAS,9400.00,57.53
2019-03-16,@ OKC,9300.00,55.94
2019-03-13,@ HOU,9200.00,57.39
2019-03-10,vs. PHX,9300.00,46.61
2019-03-08,vs. DEN,9100.00,70.93
2019-03-05,vs. BOS,9400.00,56.63
2019-03-02,@ PHI,9400.00,54.44
2019-02-28,@ ORL,9300.00,49.03
2019-02-27,@ MIA,9300.00,55.73
2019-02-25,@ CHA,9600.00,56.76
2019-02-23,vs. HOU,9500.00,51.56
2019-02-21,vs. SAC,9500.00,58.1
2019-02-17,vs. LBN,-,49.88
2019-02-13,@ POR,9100.00,57.97
2019-02-12,vs. UTA,9100.00,58.82
2019-02-10,vs. MIA,9200.00,46.79
2019-02-08,@ PHX,9200.00,66.44
2019-02-06,vs. SAS,9200.00,56.12
2019-02-02,vs. LAL,9500.00,64.46
2019-01-31,vs. PHI,9200.00,59.16
2019-01-28,@ IND,9600.00,60.43
2019-01-26,@ BOS,9800.00,59.22
2019-01-24,@ WAS,9800.00,67.42
2019-01-21,@ LAL,10000.00,57.8
2019-01-18,@ LAC,10400.00,56.58
2019-01-16,vs. NOP,10000.00,56.95
2019-01-15,@ DEN,10000.00,55.82
2019-01-13,@ DAL,10200.00,54.19
2019-01-11,vs. CHI,10200.00,54.07
2019-01-08,vs. NYK,10400.00,55.43
2019-01-05,@ SAC,10100.00,63.15
2019-01-03,vs. HOU,10400.00,65.49
2018-12-31,@ PHX,10100.00,47.73
2018-12-29,@ POR,9800.00,58.79
2018-12-27,vs. POR,9700.00,44.56
2018-12-25,vs. LAL,9700.00,57.3
2018-12-23,vs. LAC,9500.00,39.52
2018-12-22,vs. DAL,9400.00,55.79
2018-12-19,@ UTA,9200.00,52.67
2018-12-17,vs. MEM,9600.00,56.83
2018-12-14,@ SAC,9400.00,64.22
2018-12-12,vs. TOR,9400.00,43.47
2018-12-10,vs. MIN,9200.00,64.05
2018-12-07,@ MIL,9900.00,56.93
2018-12-05,@ CLE,9700.00,62.02
2018-12-03,@ ATL,9700.00,72.24
2018-12-01,@ DET,9600.00,53.71
2018-11-08,vs. MIL,10700.00,54.43
2018-11-05,vs. MEM,10700.00,42.77
2018-11-02,vs. MIN,10700.00,68.35
2018-10-31,vs. NOP,9900.00,57.07
2018-10-29,@ CHI,9800.00,57.94
2018-10-28,@ BKN,10000.00,50.31
2018-10-26,@ NYK,9900.00,57.28
2018-10-24,vs. WAS,9300.00,64.15
2018-10-22,vs. PHX,10200.00,52.9
2018-10-21,@ DEN,9800.00,60.5
2018-10-19,@ UTA,9600.00,61.64
2018-10-16,vs. OKC,9600.00,61.16
