Date,opp,salary,PTS
2019-03-29,@ MIN,9600.00,32.58
2019-03-27,@ MEM,9300.00,38.63
2019-03-24,vs. DET,9900.00,37.52
2019-03-21,vs. IND,9800.00,35.8
2019-03-19,@ MIN,9400.00,29.52
2019-03-18,@ SAS,9400.00,31.04
2019-03-16,@ OKC,9300.00,31.18
2019-03-13,@ HOU,9200.00,35.2
2019-03-10,vs. PHX,9300.00,39.07
2019-03-08,vs. DEN,9100.00,35.71
2019-03-05,vs. BOS,9400.00,37.03
2019-03-02,@ PHI,9400.00,36.75
2019-02-28,@ ORL,9300.00,26.97
2019-02-27,@ MIA,9300.00,41.24
2019-02-25,@ CHA,9600.00,37.71
2019-02-23,vs. HOU,9500.00,43.52
2019-02-21,vs. SAC,9500.00,36.86
2019-02-17,vs. LBN,-,25.53
2019-02-13,@ POR,9100.00,32.36
2019-02-12,vs. UTA,9100.00,41.14
2019-02-10,vs. MIA,9200.00,38.47
2019-02-08,@ PHX,9200.00,39.49
2019-02-06,vs. SAS,9200.00,28.23
2019-02-02,vs. LAL,9500.00,30.35
2019-01-31,vs. PHI,9200.00,28.25
2019-01-28,@ IND,9600.00,36.62
2019-01-26,@ BOS,9800.00,37.58
2019-01-24,@ WAS,9800.00,32.03
2019-01-21,@ LAL,10000.00,44.6
2019-01-18,@ LAC,10400.00,31.87
2019-01-16,vs. NOP,10000.00,32.04
2019-01-15,@ DEN,10000.00,35.29
2019-01-13,@ DAL,10200.00,35.07
2019-01-11,vs. CHI,10200.00,34.27
2019-01-08,vs. NYK,10400.00,29.65
2019-01-05,@ SAC,10100.00,46.42
2019-01-03,vs. HOU,10400.00,30.09
2018-12-31,@ PHX,10100.00,43.87
2018-12-29,@ POR,9800.00,39.25
2018-12-27,vs. POR,9700.00,35.96
2018-12-25,vs. LAL,9700.00,32.35
2018-12-23,vs. LAC,9500.00,38.75
2018-12-22,vs. DAL,9400.00,42.93
2018-12-19,@ UTA,9200.00,39.82
2018-12-17,vs. MEM,9600.00,35.31
2018-12-14,@ SAC,9400.00,42.04
2018-12-12,vs. TOR,9400.00,38.01
2018-12-10,vs. MIN,9200.00,42.3
2018-12-07,@ MIL,9900.00,42.31
2018-12-05,@ CLE,9700.00,28.15
2018-12-03,@ ATL,9700.00,37.25
2018-12-01,@ DET,9600.00,33.41
2018-11-08,vs. MIL,10700.00,37.28
2018-11-05,vs. MEM,10700.00,37.6
2018-11-02,vs. MIN,10700.00,35.21
2018-10-31,vs. NOP,9900.00,47.54
2018-10-29,@ CHI,9800.00,30.9
2018-10-28,@ BKN,10000.00,38.97
2018-10-26,@ NYK,9900.00,38.39
2018-10-24,vs. WAS,9300.00,47.91
2018-10-22,vs. PHX,10200.00,40.62
2018-10-21,@ DEN,9800.00,50.89
2018-10-19,@ UTA,9600.00,37.45
2018-10-16,vs. OKC,9600.00,41.53
