Date,opp,salary,PTS
2019-03-29,@ MIN,9600.00,71.58
2019-03-27,@ MEM,9300.00,75.7
2019-03-24,vs. DET,9900.00,61.24
2019-03-21,vs. IND,9800.00,70.01
2019-03-19,@ MIN,9400.00,58.4
2019-03-18,@ SAS,9400.00,64.31
2019-03-16,@ OKC,9300.00,59.98
2019-03-13,@ HOU,9200.00,58.48
2019-03-10,vs. PHX,9300.00,71.12
2019-03-08,vs. DEN,9100.00,60.0
2019-03-05,vs. BOS,9400.00,75.63
2019-03-02,@ PHI,9400.00,73.51
2019-02-28,@ ORL,9300.00,71.81
2019-02-27,@ MIA,9300.00,57.71
2019-02-25,@ CHA,9600.00,53.64
2019-02-23,vs. HOU,9500.00,67.34
2019-02-21,vs. SAC,9500.00,62.86
2019-02-17,vs. LBN,-,71.65
2019-02-13,@ POR,9100.00,65.34
2019-02-12,vs. UTA,9100.00,71.17
2019-02-10,vs. MIA,9200.00,62.46
2019-02-08,@ PHX,9200.00,72.38
2019-02-06,vs. SAS,9200.00,59.73
2019-02-02,vs. LAL,9500.00,67.17
2019-01-31,vs. PHI,9200.00,65.73
2019-01-28,@ IND,9600.00,66.69
2019-01-26,@ BOS,9800.00,60.9
2019-01-24,@ WAS,9800.00,60.2
2019-01-21,@ LAL,10000.00,64.44
2019-01-18,@ LAC,10400.00,74.59
2019-01-16,vs. NOP,10000.00,63.45
2019-01-15,@ DEN,10000.00,70.18
2019-01-13,@ DAL,10200.00,70.89
2019-01-11,vs. CHI,10200.00,71.61
2019-01-08,vs. NYK,10400.00,54.46
2019-01-05,@ SAC,10100.00,67.95
2019-01-03,vs. HOU,10400.00,57.99
2018-12-31,@ PHX,10100.00,62.86
2018-12-29,@ POR,9800.00,59.06
2018-12-27,vs. POR,9700.00,67.69
2018-12-25,vs. LAL,9700.00,62.6
2018-12-23,vs. LAC,9500.00,57.41
2018-12-22,vs. DAL,9400.00,65.42
2018-12-19,@ UTA,9200.00,72.23
2018-12-17,vs. MEM,9600.00,60.69
2018-12-14,@ SAC,9400.00,66.01
2018-12-12,vs. TOR,9400.00,57.95
2018-12-10,vs. MIN,9200.00,63.58
2018-12-07,@ MIL,9900.00,61.9
2018-12-05,@ CLE,9700.00,62.53
2018-12-03,@ ATL,9700.00,67.63
2018-12-01,@ DET,9600.00,69.57
2018-11-08,vs. MIL,10700.00,62.37
2018-11-05,vs. MEM,10700.00,67.51
2018-11-02,vs. MIN,10700.00,64.38
2018-10-31,vs. NOP,9900.00,64.4
2018-10-29,@ CHI,9800.00,55.23
2018-10-28,@ BKN,10000.00,71.98
2018-10-26,@ NYK,9900.00,60.9
2018-10-24,vs. WAS,9300.00,69.2
2018-10-22,vs. PHX,10200.00,72.06
2018-10-21,@ DEN,9800.00,62.65
2018-10-19,@ UTA,9600.00,72.32
2018-10-16,vs. OKC,9600.00,56.45
