Date,opp,salary,PTS
2019-03-29,@ MIN,9600.00,-2.65
2019-03-27,@ MEM,9300.00,1.02
2019-03-24,vs. DET,9900.00,14.27
2019-03-21,vs. IND,9800.00,6.38
2019-03-19,@ MIN,9400.00,11.88
2019-03-18,@ SAS,9400.00,4.76
2019-03-16,@ OKC,9300.00,12.87
2019-03-13,@ HOU,9200.00,-7.79
2019-03-10,vs. PHX,9300.00,6.15
2019-03-08,vs. DEN,9100.00,6.69
2019-03-05,vs. BOS,9400.00,7.22
2019-03-02,@ PHI,9400.00,7.64
2019-02-28,@ ORL,9300.00,14.6
2019-02-27,@ MIA,9300.00,17.99
2019-02-25,@ CHA,9600.00,8.55
2019-02-23,vs. HOU,9500.00,10.31
2019-02-21,vs. SAC,9500.00,0.55
2019-02-17,vs. LBN,-,5.38
2019-02-13,@ POR,9100.00,6.19
2019-02-12,vs. UTA,9100.00,18.95
2019-02-10,vs. MIA,9200.00,12.71
2019-02-08,@ PHX,9200.00,2.49
2019-02-06,vs. SAS,9200.00,12.94
2019-02-02,vs. LAL,9500.00,5.5
2019-01-31,vs. PHI,9200.00,5.33
2019-01-28,@ IND,9600.00,18.96
2019-01-26,@ BOS,9800.00,18.88
2019-01-24,@ WAS,9800.00,11.7
2019-01-21,@ LAL,10000.00,13.57
2019-01-18,@ LAC,10400.00,5.81
2019-01-16,vs. NOP,10000.00,14.73
2019-01-15,@ DEN,10000.00,6.73
2019-01-13,@ DAL,10200.00,15.84
2019-01-11,vs. CHI,10200.00,6.73
2019-01-08,vs. NYK,10400.00,9.39
2019-01-05,@ SAC,10100.00,4.87
2019-01-03,vs. HOU,10400.00,3.1
2018-12-31,@ PHX,10100.00,5.68
2018-12-29,@ POR,9800.00,2.3
2018-12-27,vs. POR,9700.00,2.09
2018-12-25,vs. LAL,9700.00,0.46
2018-12-23,vs. LAC,9500.00,5.18
2018-12-22,vs. DAL,9400.00,-0.71
2018-12-19,@ UTA,9200.00,14.99
2018-12-17,vs. MEM,9600.00,8.21
2018-12-14,@ SAC,9400.00,13.07
2018-12-12,vs. TOR,9400.00,10.55
2018-12-10,vs. MIN,9200.00,9.71
2018-12-07,@ MIL,9900.00,2.78
2018-12-05,@ CLE,9700.00,14.42
2018-12-03,@ ATL,9700.00,15.3
2018-12-01,@ DET,9600.00,18.91
2018-11-08,vs. MIL,10700.00,11.04
2018-11-05,vs. MEM,10700.00,6.04
2018-11-02,vs. MIN,10700.00,2.07
2018-10-31,vs. NOP,9900.00,14.95
2018-10-29,@ CHI,9800.00,2.21
2018-10-28,@ BKN,10000.00,15.58
2018-10-26,@ NYK,9900.00,6.87
2018-10-24,vs. WAS,9300.00,4.23
2018-10-22,vs. PHX,10200.00,15.91
2018-10-21,@ DEN,9800.00,9.46
2018-10-19,@ UTA,9600.00,8.52
2018-10-16,vs. OKC,9600.00,14.42
