Date,opp,salary,PTS
2019-03-29,@ MIN,9600.00,29.26
2019-03-27,@ MEM,9300.00,17.85
2019-03-24,vs. DET,9900.00,25.37
2019-03-21,vs. IND,9800.00,17.1
2019-03-19,@ MIN,9400.00,28.67
2019-03-18,@ SAS,9400.00,30.83
2019-03-16,@ OKC,9300.00,19.4
2019-03-13,@ HOU,9200.00,32.96
2019-03-10,vs. PHX,9300.00,29.09
2019-03-08,vs. DEN,9100.00,26.08
2019-03-05,vs. BOS,9400.00,29.7
2019-03-02,@ PHI,9400.00,27.64
2019-02-28,@ ORL,9300.00,24.92
2019-02-27,@ MIA,9300.00,27.66
2019-02-25,@ CHA,9600.00,16.5
2019-02-23,vs. HOU,9500.00,33.35
2019-02-21,vs. SAC,9500.00,23.17
2019-02-17,vs. LBN,-,25.81
2019-02-13,@ POR,9100.00,18.03
2019-02-12,vs. UTA,9100.00,15.24
2019-02-10,vs. MIA,9200.00,28.36
2019-02-08,@ PHX,9200.00,29.4
2019-02-06,vs. SAS,9200.00,24.63
2019-02-02,vs. LAL,9500.00,17.15
2019-01-31,vs. PHI,9200.00,32.97
2019-01-28,@ IND,9600.00,24.11
2019-01-26,@ BOS,9800.00,21.18
2019-01-24,@ WAS,9800.00,23.08
2019-01-21,@ LAL,10000.00,23.27
2019-01-18,@ LAC,10400.00,23.64
2019-01-16,vs. NOP,10000.00,21.73
2019-01-15,@ DEN,10000.00,24.87
2019-01-13,@ DAL,10200.00,13.36
2019-01-11,vs. CHI,10200.00,22.69
2019-01-08,vs. NYK,10400.00,32.01
2019-01-05,@ SAC,10100.00,31.29
2019-01-03,vs. HOU,10400.00,28.14
2018-12-31,@ PHX,10100.00,29.03
2018-12-29,@ POR,9800.00,34.26
2018-12-27,vs. POR,9700.00,22.26
2018-12-25,vs. LAL,9700.00,24.07
2018-12-23,vs. LAC,9500.00,29.56
2018-12-22,vs. DAL,9400.00,26.36
2018-12-19,@ UTA,9200.00,30.14
2018-12-17,vs. MEM,9600.00,21.44
2018-12-14,@ SAC,9400.00,21.6
2018-12-12,vs. TOR,9400.00,33.73
2018-12-10,vs. MIN,9200.00,34.85
2018-12-07,@ MIL,9900.00,33.47
2018-12-05,@ CLE,9700.00,31.25
2018-12-03,@ ATL,9700.00,16.91
2018-12-01,@ DET,9600.00,34.67
2018-11-08,vs. MIL,10700.00,28.84
2018-11-05,vs. MEM,10700.00,21.93
2018-11-02,vs. MIN,10700.00,18.49
2018-10-31,vs. NOP,9900.00,20.75
2018-10-29,@ CHI,9800.00,27.21
2018-10-28,@ BKN,10000.00,21.75
2018-10-26,@ NYK,9900.00,22.99
2018-10-24,vs. WAS,9300.00,16.81
2018-10-22,vs. PHX,10200.00,16.66
2018-10-21,@ DEN,9800.00,26.62
2018-10-19,@ UTA,9600.00,19.12
2018-10-16,vs. OKC,9600.00,31.55
