Date,opp,salary,PTS
2019-03-29,@ MIN,9600.00,37.18
2019-03-27,@ MEM,9300.00,26.18
2019-03-24,vs. DET,9900.00,37.76
2019-03-21,vs. IND,9800.00,25.77
2019-03-19,@ MIN,9400.00,28.06
2019-03-18,@ SAS,9400.00,31.5
2019-03-16,@ OKC,9300.00,45.26
2019-03-13,@ HOU,9200.00,28.19
2019-03-10,vs. PHX,9300.00,26.33
2019-03-08,vs. DEN,9100.00,29.13
2019-03-05,vs. BOS,9400.00,35.4
2019-03-02,@ PHI,9400.00,27.65
2019-02-28,@ ORL,9300.00,36.35
2019-02-27,@ MIA,9300.00,39.05
2019-02-25,@ CHA,9600.00,33.77
2019-02-23,vs. HOU,9500.00,26.54
2019-02-21,vs. SAC,9500.00,25.89
2019-02-17,vs. LBN,-,35.87
2019-02-13,@ POR,9100.00,37.76
2019-02-12,vs. UTA,9100.00,32.08
2019-02-10,vs. MIA,9200.00,30.19
2019-02-08,@ PHX,9200.00,32.3
2019-02-06,vs. SAS,9200.00,38.12
2019-02-02,vs. LAL,9500.00,35.6
2019-01-31,vs. PHI,9200.00,36.76
2019-01-28,@ IND,9600.00,32.27
2019-01-26,@ BOS,9800.00,22.39
2019-01-24,@ WAS,9800.00,23.28
2019-01-21,@ LAL,10000.00,38.34
2019-01-18,@ LAC,10400.00,41.39
2019-01-16,vs. NOP,10000.00,35.47
2019-01-15,@ DEN,10000.00,37.88
2019-01-13,@ DAL,10200.00,41.28
2019-01-11,vs. CHI,10200.00,30.79
2019-01-08,vs. NYK,10400.00,34.98
2019-01-05,@ SAC,10100.00,25.57
2019-01-03,vs. HOU,10400.00,37.16
2018-12-31,@ PHX,10100.00,30.9
2018-12-29,@ POR,9800.00,34.44
2018-12-27,vs. POR,9700.00,30.15
2018-12-25,vs. LAL,9700.00,29.33
2018-12-23,vs. LAC,9500.00,29.38
2018-12-22,vs. DAL,9400.00,45.49
2018-12-19,@ UTA,9200.00,22.11
2018-12-17,vs. MEM,9600.00,33.16
2018-12-14,@ SAC,9400.00,30.36
2018-12-12,vs. TOR,9400.00,37.2
2018-12-10,vs. MIN,9200.00,33.08
2018-12-07,@ MIL,9900.00,29.26
2018-12-05,@ CLE,9700.00,27.17
2018-12-03,@ ATL,9700.00,30.66
2018-12-01,@ DET,9600.00,38.37
2018-11-08,vs. MIL,10700.00,30.54
2018-11-05,vs. MEM,10700.00,25.69
2018-11-02,vs. MIN,10700.00,42.45
2018-10-31,vs. NOP,9900.00,26.25
2018-10-29,@ CHI,9800.00,41.82
2018-10-28,@ BKN,10000.00,34.57
2018-10-26,@ NYK,9900.00,31.84
2018-10-24,vs. WAS,9300.00,30.31
2018-10-22,vs. PHX,10200.00,27.19
2018-10-21,@ DEN,9800.00,28.51
2018-10-19,@ UTA,9600.00,26.92
2018-10-16,vs. OKC,9600.00,25.13
