Date,opp,salary,PTS
2019-03-29,@ MIN,9600.00,31.94
2019-03-27,@ MEM,9300.00,37.62
2019-03-24,vs. DET,9900.00,39.89
2019-03-21,vs. IND,9800.00,30.32
2019-03-19,@ MIN,9400.00,36.07
2019-03-18,@ SAS,9400.00,39.63
2019-03-16,@ OKC,9300.00,43.35
2019-03-13,@ HOU,9200.00,39.84
2019-03-10,vs. PHX,9300.00,36.61
2019-03-08,vs. DEN,9100.00,39.01
2019-03-05,vs. BOS,9400.00,51.65
2019-03-02,@ PHI,9400.00,45.81
2019-02-28,@ ORL,9300.00,36.29
2019-02-27,@ MIA,9300.00,32.49
2019-02-25,@ CHA,9600.00,44.62
2019-02-23,vs. HOU,9500.00,34.57
2019-02-21,vs. SAC,9500.00,38.62
2019-02-17,vs. LBN,-,50.62
2019-02-13,@ POR,9100.00,39.75
2019-02-12,vs. UTA,9100.00,36.5
2019-02-10,vs. MIA,9200.00,39.79
2019-02-08,@ PHX,9200.00,44.78
2019-02-06,vs. SAS,9200.00,41.88
2019-02-02,vs. LAL,9500.00,44.41
2019-01-31,vs. PHI,9200.00,31.16
2019-01-28,@ IND,9600.00,46.29
2019-01-26,@ BOS,9800.00,30.94
2019-01-24,@ WAS,9800.00,34.71
2019-01-21,@ LAL,10000.00,37.73
2019-01-18,@ LAC,10400.00,34.06
2019-01-16,vs. NOP,10000.00,47.69
2019-01-15,@ DEN,10000.00,40.7
2019-01-13,@ DAL,10200.00,45.5
2019-01-11,vs. CHI,10200.00,36.82
2019-01-08,vs. NYK,10400.00,43.89
2019-01-05,@ SAC,10100.00,39.55
2019-01-03,vs. HOU,10400.00,37.38
2018-12-31,@ PHX,10100.00,40.42
2018-12-29,@ POR,9800.00,41.03
2018-12-27,vs. POR,9700.00,36.75
2018-12-25,vs. LAL,9700.00,42.25
2018-12-23,vs. LAC,9500.00,43.31
2018-12-22,vs. DAL,9400.00,38.53
2018-12-19,@ UTA,9200.00,39.54
2018-12-17,vs. MEM,9600.00,33.58
2018-12-14,@ SAC,9400.00,39.69
2018-12-12,vs. TOR,9400.00,33.23
2018-12-10,vs. MIN,9200.00,33.58
2018-12-07,@ MIL,9900.00,44.02
2018-12-05,@ CLE,9700.00,43.22
2018-12-03,@ ATL,9700.00,46.39
2018-12-01,@ DET,9600.00,35.36
2018-11-08,vs. MIL,10700.00,48.47
2018-11-05,vs. MEM,10700.00,43.39
2018-11-02,vs. MIN,10700.00,32.76
2018-10-31,vs. NOP,9900.00,42.77
2018-10-29,@ CHI,9800.00,29.25
2018-10-28,@ BKN,10000.00,40.34
2018-10-26,@ NYK,9900.00,48.48
2018-10-24,vs. WAS,9300.00,47.52
2018-10-22,vs. PHX,10200.00,39.22
2018-10-21,@ DEN,9800.00,41.13
2018-10-19,@ UTA,9600.00,47.28
2018-10-16,vs. OKC,9600.00,36.86
