Date,opp,salary,PTS
2019-03-29,@ MIN,9600.00,24.32
2019-03-27,@ MEM,9300.00,19.59
2019-03-24,vs. DET,9900.00,23.71
2019-03-21,vs. IND,9800.00,32.1
2019-03-19,@ MIN,9400.00,18.93
2019-03-18,@ SAS,9400.00,27.61
2019-03-16,@ OKC,9300.00,23.71
2019-03-13,@ HOU,9200.00,16.58
2019-03-10,vs. PHX,9300.00,26.76
2019-03-08,vs. DEN,9100.00,28.75
2019-03-05,vs. BOS,9400.00,28.82
2019-03-02,@ PHI,9400.00,21.98
2019-02-28,@ ORL,9300.00,22.53
2019-02-27,@ MIA,9300.00,24.4
2019-02-25,@ CHA,9600.00,30.68
2019-02-23,vs. HOU,9500.00,27.78
2019-02-21,vs. SAC,9500.00,29.87
2019-02-17,vs. LBN,-,25.93
2019-02-13,@ POR,9100.00,17.94
2019-02-12,vs. UTA,9100.00,29.28
2019-02-10,vs. MIA,9200.00,31.01
2019-02-08,@ PHX,9200.00,20.03
2019-02-06,vs. SAS,9200.00,25.25
2019-02-02,vs. LAL,9500.00,26.62
2019-01-31,vs. PHI,9200.00,30.83
2019-01-28,@ IND,9600.00,35.32
2019-01-26,@ BOS,9800.00,21.97
2019-01-24,@ WAS,9800.00,27.55
2019-01-21,@ LAL,10000.00,24.4
2019-01-18,@ LAC,10400.00,14.66
2019-01-16,vs. NOP,10000.00,31.72
2019-01-15,@ DEN,10000.00,26.16
2019-01-13,@ DAL,10200.00,21.27
2019-01-11,vs. CHI,10200.00,27.87
2019-01-08,vs. NYK,10400.00,25.85
2019-01-05,@ SAC,10100.00,27.01
2019-01-03,vs. HOU,10400.00,28.97
2018-12-31,@ PHX,10100.00,24.44
2018-12-29,@ POR,9800.00,30.35
2018-12-27,vs. POR,9700.00,16.71
2018-12-25,vs. LAL,9700.00,17.17
2018-12-23,vs. LAC,9500.00,22.47
2018-12-22,vs. DAL,9400.00,26.57
2018-12-19,@ UTA,9200.00,26.83
2018-12-17,vs. MEM,9600.00,29.45
2018-12-14,@ SAC,9400.00,32.47
2018-12-12,vs. TOR,9400.00,25.98
2018-12-10,vs. MIN,9200.00,22.13
2018-12-07,@ MIL,9900.00,23.46
2018-12-05,@ CLE,9700.00,31.68
2018-12-03,@ ATL,9700.00,33.4
2018-12-01,@ DET,9600.00,31.46
2018-11-08,vs. MIL,10700.00,15.18
2018-11-05,vs. MEM,10700.00,30.34
2018-11-02,vs. MIN,10700.00,20.48
2018-10-31,vs. NOP,9900.00,32.92
2018-10-29,@ CHI,9800.00,27.19
2018-10-28,@ BKN,10000.00,18.62
2018-10-26,@ NYK,9900.00,30.83
2018-10-24,vs. WAS,9300.00,27.0
2018-10-22,vs. PHX,10200.00,20.52
2018-10-21,@ DEN,9800.00,40.06
2018-10-19,@ UTA,9600.00,26.77
2018-10-16,vs. OKC,9600.00,28.91
