Date,opp,salary,PTS
2019-03-29,@ MIN,9600.00,13.6
2019-03-27,@ MEM,9300.00,1.97
2019-03-24,vs. DET,9900.00,8.34
2019-03-21,vs. IND,9800.00,1.25
2019-03-19,@ MIN,9400.00,-0.46
2019-03-18,@ SAS,9400.00,10.25
2019-03-16,@ OKC,9300.00,5.82
2019-03-13,@ HOU,9200.00,4.48
2019-03-10,vs. PHX,9300.00,6.52
2019-03-08,vs. DEN,9100.00,16.98
2019-03-05,vs. BOS,9400.00,3.27
2019-03-02,@ PHI,9400.00,-6.49
2019-02-28,@ ORL,9300.00,11.39
2019-02-27,@ MIA,9300.00,14.48
2019-02-25,@ CHA,9600.00,-0.3
2019-02-23,vs. HOU,9500.00,2.91
2019-02-21,vs. SAC,9500.00,6.34
2019-02-17,vs. LBN,-,10.0
2019-02-13,@ POR,9100.00,2.13
2019-02-12,vs. UTA,9100.00,-0.48
2019-02-10,vs. MIA,9200.00,3.91
2019-02-08,@ PHX,9200.00,2.8
2019-02-06,vs. SAS,9200.00,4.39
2019-02-02,vs. LAL,9500.00,-5.25
2019-01-31,vs. PHI,9200.00,10.69
2019-01-28,@ IND,9600.00,-0.76
2019-01-26,@ BOS,9800.00,-0.71
2019-01-24,@ WAS,9800.00,-1.29
2019-01-21,@ LAL,10000.00,6.43
2019-01-18,@ LAC,10400.00,2.5
2019-01-16,vs. NOP,10000.00,3.0
2019-01-15,@ DEN,10000.00,1.88
2019-01-13,@ DAL,10200.00,2.88
2019-01-11,vs. CHI,10200.00,6.94
2019-01-08,vs. NYK,10400.00,7.48
2019-01-05,@ SAC,10100.00,8.16
2019-01-03,vs. HOU,10400.00,5.43
2018-12-31,@ PHX,10100.00,5.48
2018-12-29,@ POR,9800.00,8.89
2018-12-27,vs. POR,9700.00,-4.27
2018-12-25,vs. LAL,9700.00,4.07
2018-12-23,vs. LAC,9500.00,1.85
2018-12-22,vs. DAL,9400.00,0.82
2018-12-19,@ UTA,9200.00,15.87
2018-12-17,vs. MEM,9600.00,7.8
2018-12-14,@ SAC,9400.00,6.27
2018-12-12,vs. TOR,9400.00,6.82
2018-12-10,vs. MIN,9200.00,-3.19
2018-12-07,@ MIL,9900.00,14.02
2018-12-05,@ CLE,9700.00,6.56
2018-12-03,@ ATL,9700.00,12.38
2018-12-01,@ DET,9600.00,8.46
2018-11-08,vs. MIL,10700.00,5.95
2018-11-05,vs. MEM,10700.00,8.87
2018-11-02,vs. MIN,10700.00,10.82
2018-10-31,vs. NOP,9900.00,-0.78
2018-10-29,@ CHI,9800.00,14.53
2018-10-28,@ BKN,10000.00,-5.91
2018-10-26,@ NYK,9900.00,-1.41
2018-10-24,vs. WAS,9300.00,7.15
2018-10-22,vs. PHX,10200.00,-1.23
2018-10-21,@ DEN,9800.00,3.78
2018-10-19,@ UTA,9600.00,6.45
2018-10-16,vs. OKC,9600.00,10.93
